variant,routers,metric,hardware_n,otns_n,hardware_mean_ms,otns_mean_ms,delta_mean_ms,delta_mean_ci95_low_ms,delta_mean_ci95_high_ms,hardware_median_ms,otns_median_ms,delta_median_ms,delta_median_ci95_low_ms,delta_median_ci95_high_ms
fast-attach-ucast-1,2,parent_request_ack_to_parent_response_ms,100,100,8.81239418,2.6836,6.12879418,5.57496621425,6.63189889675,8.9759825,1.92,7.055982500000001,6.603184000000001,7.318985524999999
fast-attach-ucast-1,2,parent_response_to_ack_ms,100,100,4.0075828,4.0,0.007582799999999779,0.007473139750000102,0.007690090249999648,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.008054999999999701
fast-attach-ucast-1,2,parent_response_ack_to_child_id_request_ms,100,100,6.5977597,2.232,4.3657597,3.8472796022500004,4.82486764975,6.6710709999999995,1.576,5.095070999999999,4.738593,5.527009
fast-attach-ucast-1,2,child_id_request_to_ack_ms,100,100,3.84755132,3.84,0.007551320000000139,0.007444019500000332,0.007658620250000392,3.847837,3.84,0.007837000000000316,0.007122000000000295,0.007837000000000316
fast-attach-ucast-1,2,child_id_request_ack_to_child_id_response_ms,100,100,9.98774289,2.00288,7.98486289,7.592179569249999,8.319846834,10.1385115,1.576,8.5625115,7.984065500000001,8.812851
fast-attach-ucast-1,2,adjusted_parent_request_to_response_ms,100,100,10.44923923,4.2436,6.20563923,5.6516920565,6.718466929249999,10.543512,3.48,7.063511999999999,6.6244268625,7.326087000000001
fast-attach-ucast-1,3,parent_request_to_response_ms,100,100,11.23930217,5.27528,5.96402217,5.471102033499999,6.412192392249999,11.38556,4.74,6.64556,6.080002212499999,7.092555499999999
fast-attach-ucast-1,3,parent_response_to_child_id_request_ms,100,100,10.72895525,5.91104,4.81791525,4.449420195749999,5.14704878825,10.8224155,5.576,5.2464155,4.949897150000001,5.721029999999999
fast-attach-ucast-1,3,child_id_request_to_response_ms,100,100,13.811419,5.9568,7.8546190000000005,7.357864914,8.28872394325,14.045,5.416,8.629,8.0646635,9.0745275
fast-attach-ucast-1,3,full_attach_ms,100,100,35.77967645,17.14312,18.636556449999997,17.883480171250003,19.390382615499995,35.6835125,16.032,19.6515125,19.066550499999995,20.320589
fast-attach-ucast-1,3,parent_request_to_ack_ms,100,100,2.5676229900000003,2.56,0.007622990000000218,0.007529939999999957,0.007713630000000027,2.568007,2.56,0.008007000000000097,0.00788750000000027,0.008007000000000097
fast-attach-ucast-1,3,parent_request_ack_to_parent_response_ms,100,100,8.67167954,2.71528,5.95639954,5.4551771225,6.407719897250001,8.818507499999999,2.18,6.638507499999999,6.070929362499999,7.0859597375000005
fast-attach-ucast-1,3,parent_response_to_ack_ms,100,100,4.0075493799999995,4.12576,-0.11821062000000016,-0.3164388887499999,0.0075970404999994075,4.007816,4.0,0.007816000000000045,0.00710099999999958,0.007935500000000317
fast-attach-ucast-1,3,parent_response_ack_to_child_id_request_ms,100,100,6.72140602,1.78528,4.93612602,4.6084426899999995,5.23427667,6.81448,1.576,5.238479999999999,4.985994999999999,5.753983
fast-attach-ucast-1,3,child_id_request_to_ack_ms,100,100,3.84764434,3.84,0.007644340000000138,0.007539440000000397,0.007749240250000322,3.847837,3.84,0.007837000000000316,0.007837000000000316,0.008075999999999972
fast-attach-ucast-1,3,child_id_request_ack_to_child_id_response_ms,100,100,9.96377467,2.1168,7.84697467,7.3773375752499994,8.28778909675,10.1969245,1.576,8.6209245,8.057541,9.061087
fast-attach-ucast-1,3,adjusted_parent_request_to_response_ms,100,100,10.23930217,4.27528,5.96402217,5.4781539185,6.4157290475,10.38556,3.74,6.64556,6.097963737499999,7.0925555
fast-attach-ucast-1,4,parent_request_to_response_ms,100,100,11.58150439,5.46896,6.112544389999999,5.6099084015,6.57351970025,11.5619895,4.68,6.8819894999999995,6.495881000000001,7.2180409999999995
fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,100,100,10.60546637,7.67313,2.9323363700000007,0.02313617824999993,4.598587745500001,10.5894805,5.736,4.853480500000001,4.574116625,5.1675582124999995
