platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
otns,ucast,2,adjusted_parent_request_to_response_ms,,,,,,,,,,,,
hardware,ucast,2,adjusted_parent_request_to_response_ms,100,10.23597196,1.0955055038042634,10.1645225,1.7214917500000002,8.36625245,9.41544225,11.136934,11.99834,8.177866,12.115015,10.2422056625
otns,ucast,3,parent_request_to_response_ms,100,501.40057,2398.6135461675417,259.94,221.68000000000004,56.66,160.22,381.90000000000003,474.272,11.12,24210.504,264.4320125
hardware,ucast,3,parent_request_to_response_ms,100,251.4457488,145.85707364638793,244.687438,258.8216065,42.36528835,134.081483,392.90308949999996,473.3864663,10.535002,503.407955,250.1129627375
otns,ucast,3,parent_response_to_child_id_request_ms,100,5.9088,1.5008779114406692,5.576,1.2800000000000002,4.616,4.936,6.216,9.111999999999998,4.616,12.936,5.6
hardware,ucast,3,parent_response_to_child_id_request_ms,100,10.51411866,0.8891345385545033,10.6109385,1.8893477499999989,9.3842507,9.466350250000001,11.355698,11.7966417,8.905888,12.328148,10.5067849
otns,ucast,3,child_id_request_to_response_ms,100,5.7008,1.405481678099984,5.416,1.04,4.456,4.776,5.816,8.616,4.456,13.096,5.416
hardware,ucast,3,child_id_request_to_response_ms,100,13.96706823,0.8266445607814233,14.184832499999999,1.191139249999999,12.53124515,13.39376,14.58489925,14.90391535,12.032032,15.712023,14.0167772875
otns,ucast,3,full_attach_ms,100,513.01017,2398.7329654707255,271.572,219.2,67.012,173.452,392.652,487.712,21.792,24223.416,276.06001249999997
hardware,ucast,3,full_attach_ms,100,275.92693566,145.9491225885396,269.4393395,260.98364625,65.38778500000001,157.67139175,418.655038,498.53445265,36.530018,527.605057,274.575397375
otns,ucast,3,parent_request_to_ack_ms,100,2.56,0.0,2.56,0.0,2.56,2.56,2.56,2.56,2.56,2.56,2.56
