platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,ucast,4,parent_request_to_ack_ms,100,2.56753469,0.0005284609385143164,2.568007,0.0009540000000001214,2.566814,2.567053,2.568007,2.568007,2.566814,2.56896,2.567553825
otns,ucast,4,parent_request_ack_to_parent_response_ms,100,257.49272,146.86460170642025,266.716,256.26,24.491600000000002,126.252,382.512,472.19759999999997,2.48,499.24,259.5747
hardware,ucast,4,parent_request_ack_to_parent_response_ms,100,245.7365752,138.40882531174253,224.2894175,259.92739225,56.25921465,125.84364400000001,385.77103625,459.8757748,9.931087,489.738941,242.6623494375
otns,ucast,4,parent_response_to_ack_ms,99,4.057050505050505,0.567645358058403,4.0,0.0,4.0,4.0,4.0,4.0,4.0,9.648,4.0
hardware,ucast,4,parent_response_to_ack_ms,100,4.0075518,0.000555666530330227,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.009008,4.007551175
otns,ucast,4,parent_response_ack_to_child_id_request_ms,99,2.10610101010101,1.5968371129213683,1.576,0.9600000000000002,0.616,1.256,2.216,4.776,0.616,9.576,1.8288395061728395
hardware,ucast,4,parent_response_ack_to_child_id_request_ms,100,6.48069144,0.9188178847323042,6.451487500000001,1.7885567499999997,5.215310700000001,5.43665875,7.2252155,7.92328075,4.951954,8.167982,6.45513535
otns,ucast,4,child_id_request_to_ack_ms,100,3.9561599999999997,1.1616,3.84,0.0,3.84,3.84,3.84,3.84,3.84,15.456,3.84
hardware,ucast,4,child_id_request_to_ack_ms,100,3.84758948,0.000511575294970449,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.848076,3.84761685
otns,ucast,4,child_id_request_ack_to_child_id_response_ms,100,1.8992,1.1219561560781313,1.576,0.9600000000000002,0.616,1.256,2.216,4.4719999999999995,0.616,5.416,1.716
hardware,ucast,4,child_id_request_ack_to_child_id_response_ms,100,10.06731507,0.9641615817702037,10.103940999999999,1.461506,8.51511935,9.27954925,10.74105525,11.0692737,8.380175,14.898062,10.0591927375
