platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,stock-low-power,4,adjusted_parent_request_to_response_ms,92,9.677920554347827,1.0807880440674937,9.6729745,1.6343904999999985,7.7870183,8.85832425,10.49271475,11.1581174,7.644073,13.360962,9.659668418918919
otns,ucast,2,parent_request_to_response_ms,100,247.26752,147.35504569839938,247.78,256.91200000000003,20.974,121.452,378.36400000000003,463.6504,15.44,493.472,247.0647
hardware,ucast,2,parent_request_to_response_ms,100,269.48597196000003,139.72392082854964,298.338056,241.116226,37.3549339,142.2054765,383.3217025,475.51853700000004,11.835098,501.063108,272.1865416
otns,ucast,2,parent_response_to_child_id_request_ms,100,5.9248,1.274407986938138,5.736,1.04,4.616,5.176,6.216,8.136,4.616,13.576,5.732
hardware,ucast,2,parent_response_to_child_id_request_ms,100,10.4754472,0.8740554069525049,10.5575325,1.7229912499999998,9.387934549999999,9.463489,11.186480249999999,11.7503287,8.952856,12.144089,10.4534894375
otns,ucast,2,child_id_request_to_response_ms,100,5.6752,1.3164074773658216,5.416,1.2800000000000002,4.456,4.776,6.056,8.311999999999998,4.456,12.136,5.428
hardware,ucast,2,child_id_request_to_response_ms,100,13.83901832,0.9263553132842807,13.9945745,1.568674999999999,12.465178799999999,12.945771,14.514446,14.89086115,12.178898,17.831802,13.8307094375
otns,ucast,2,full_attach_ms,100,258.86752,147.64357458929476,259.73199999999997,257.71799999999996,31.724,132.044,389.762,475.8216,24.832,505.744,258.7607
hardware,ucast,2,full_attach_ms,100,293.80043744,139.95859241011914,322.6139545,240.08685325,60.70431445,168.00200975,408.088863,499.87015725000003,35.038948,524.06311,296.51186465
otns,ucast,2,parent_request_to_ack_ms,100,2.56,0.0,2.56,0.0,2.56,2.56,2.56,2.56,2.56,2.56,2.56
hardware,ucast,2,parent_request_to_ack_ms,100,2.56755137,0.0005477857661126627,2.568007,0.0009540000000001214,2.566814,2.567053,2.568007,2.568007,2.566814,2.56896,2.5675627625
otns,ucast,2,parent_request_ack_to_parent_response_ms,100,244.70752,147.35504569839938,245.22,256.91200000000003,18.414,118.892,375.80400000000003,461.0904,12.88,490.912,244.50469999999999
hardware,ucast,2,parent_request_ack_to_parent_response_ms,100,266.9184208,139.72398160843275,295.770526,241.11622525,34.78811985,139.63770875,380.753934,472.95053005,9.267092,498.495102,269.618997
otns,ucast,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
