platform,variant,routers,metric,value_ms,outer_fence_low_ms,outer_fence_high_ms,source_run,retransmission_observed,duplicate_sequence_observed,classification,disposition
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,11.816,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_074/baseline_summary_20260919T090345Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,13.736,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_088/baseline_summary_20260919T090348Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,8.936,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_097/baseline_summary_20260919T090354Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,3,child_id_request_to_response_ms,11.176,1.896,8.616,results/smoke/fast-attach-ucast-1-3routers-pcap-validation-20260919/run_098/baseline_summary_20260919T090354Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_request_to_response_ms,13.608,-2.2059999999999995,12.367999999999999,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_020/baseline_summary_20260919T090402Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_request_to_response_ms,13.656,-2.2059999999999995,12.367999999999999,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_027/baseline_summary_20260919T090405Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,15.176,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_013/baseline_summary_20260919T090359Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,11.864,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_015/baseline_summary_20260919T090359Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,16.456,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_028/baseline_summary_20260919T090406Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,14.536,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_042/baseline_summary_20260919T090412Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,15.496,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_059/baseline_summary_20260919T090418Z.json,False,False,valid_complete_sequence_long_tail,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,12.073,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_066/baseline_summary_20260919T090421Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,134.68,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_085/baseline_summary_20260919T090427Z.json,True,False,retransmission_or_repeated_attempt,retained
otns,fast-attach-ucast-1,4,parent_response_to_child_id_request_ms,11.224,1.0959999999999992,10.056000000000001,results/smoke/fast-attach-ucast-1-4routers-pcap-validation-20260919/run_091/baseline_summary_20260919T090430Z.json,True,False,retransmission_or_repeated_attempt,retained
